X,Y,OBJECTID,FOLIO,ID,NAME,GSRATING,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,TYPE,GRADES,CAPACITY,ENROLLMNT,REGION,LAT,LON,POINT_X,POINT_Y,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE
-8926919.843,2973007.041,326,1.31361E+11,9606,Anna Brenner Meyers Telecommunication Complex,, ,172 NE 15 STREET, ,Miami,33132,305-995-1717,A, ,0,0, ,25.78929,-80.19188,922070.22,529922.4303,,1970/01/01 00:00:00+00,ABREUI,2016/12/19 09:19:00+00
-8926082.663,2986821.161,242,6.2219E+11,341,Arch Creek Elementary,4, ,702 NE 137TH ST, ,North Miami,33161,305-892-4000,E,KG-5,642,574,N,25.90097,-80.18436,924292.9495,570530.7731,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 10:29:34+00
-8929383.874,2980414.179,196,3.03111E+12,101,Arcola Lake Elementary,8, ,1037 NW 81ST ST, ,Miami-Dade,33150,305-836-2820,E,PK-5,798,491,C,25.84918,-80.21403,914656.6113,551648.9722,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:20:05+00
-8947859.289,2945416.225,90,3.06018E+12,7351,Arthur & Polly Mays Conservatory of The Arts,5, ,11700 SW 216TH ST, ,Miami-Dade,33170,305-233-2300,S,12-Jun,955,627,S,25.56591,-80.37998,860555.8819,448400.1977,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:24:55+00
-8950216.8,2957838.907,258,3.05911E+12,6021,Arvida Middle,8, ,10900 SW 127TH AVE, ,Miami-Dade,33186,305-385-7144,M,8-Jun,1227,1416,S,25.66654,-80.40116,853409.1253,484940.6183,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:27:08+00
-8933178.092,2970243.793,198,1.4104E+11,121,Auburndale Elementary,5, ,3255 SW 6TH ST, ,Miami,33135,305-445-3587,E,PK-5,1091,831,C,25.76693,-80.2481,903617.6258,521688.5495,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8933460.899,2970276.602,199,1.4104E+11,121,Auburndale Elementary PLC-H1,5, ,3255 SW 6TH ST, ,Miami,33135,305-445-3587,PLC,PK-5,0,0,C,25.7672,-80.25064,902780.9651,521780.26,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8922196.641,2995437.367,361,3.01234E+12,231,Aventura Waterways K-8 Center,8, ,21101 NE 26 AVE, ,Miami-Dade,33180,305-933-5200,E,K-8,2099,2042,N,25.97057,-80.14945,935604.8051,595903.5916,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 12:19:53+00
-8926413.23,2994093.205,360,3.01231E+12,231,Aventura Waterways K-8 Center (Annex),8, ,750 IVES DAIRY RD, ,Miami-Dade,33179,305-933-5200,E,K-8,2099,2042,N,25.9595,-80.1872,923184.2783,591878.5922,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8957447.645,2936549.858,234,3.07906E+12,161,Avocado Elementary,6, ,16969 SW 294TH ST, ,Miami-Dade,33030,305-247-4942,E,KG-3,869,419,S,25.49404,-80.46612,832266.0965,422155.8341,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:31:10+00
-8942732.507,2967060.836,235,3.04015E+12,201,Banyan Elementary,9, ,3060 SW 85TH AVE, ,Miami-Dade,33155,305-221-4011,E,PK-5,540,333,C,25.74118,-80.33393,875417.6875,512176.5313,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 12:25:47+00
-8944049.263,2986852.419,100,3.22021E+12,7751,Barbara Goleman Senior High,6, ,14100 NW 89TH AVE, ,Miami Lakes,33018,305-362-0676,S,12-Sep,2911,1664,N,25.90122,-80.34576,871234.625,570325.2771,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:33:52+00
-8934730.448,2992479.471,419,3.42105E+12,3781,Barbara Hawkins Elementary,9, ,19010 NW 37TH AVE, ,Miami Gardens,33056,305-624-2615,E,PK-5,492,280,N,25.94668,-80.26205,898661.1248,586995.4999,,1970/01/01 00:00:00+00,T0140179,2018/09/27 09:21:46+00
-8945169.19,2948129.102,238,3.06005E+12,261,Bel-Aire Elementary,6, ,10205 SW 194TH ST, ,Cutler Bay,33157,305-233-5401,E,PK-5,750,385,S,25.58789,-80.35582,868483.535,456427.4863,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 09:55:29+00
-8942489.836,2983511.87,354,4.2034E+11,5021,Ben Sheppard Elementary,6, ,5700 W 24TH AVE, ,Hialeah,33016,305-556-2204,E,PK-5,1334,942,N,25.87422,-80.33175,875889.7431,560535.9029,,1970/01/01 00:00:00+00,ABREUI,2017/01/10 13:50:05+00
-8942387.059,2983459.567,291,4.2034E+11,5021,Ben Sheppard Elementary PLC-V,6, ,5601 W 24TH AVE, ,Hialeah,33016,305-818-7984,PLC,PK-KG,0,0,N,25.8738,-80.33084,876194.1066,560383.7948,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:42:47+00
-8930062.128,2986090.649,155,6.2126E+11,2041,Benjamin Franklin K-8 Center,2, ,13100 NW 12TH AVE, ,North Miami,33168,305-681-3547,E,PK-8,632,558,C,25.89506,-80.22012,912553.6883,568313.6249,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8952392.492,2964607.957,239,3.04922E+12,271,Bent Tree Elementary,9, ,4861 SW 140TH AVE, ,Miami-Dade,33175,305-221-0461,E,PK-5,641,510,S,25.72133,-80.42071,846884.174,504827.273,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 09:58:52+00
-8945589.968,2953288.107,229,3.0502E+12,7008,Biotech@Richmond Heights 9-12 High School,,Richmond Heights Middle,15015 SW 103RD AVE, ,Miami-Dade,33176,786-573-5353,S,9,204,270,S,25.62968,-80.3596,867164.2902,471610.609,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 12:33:40+00
-8919643.958,2981963.971,241,2.3202E+11,321,Biscayne Elementary,6, ,800 77TH ST, ,Miami Beach,33141,305-868-7727,E,PK-5,822,677,N,25.86171,-80.12652,943402.6094,556384.4277,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 10:23:39+00
-8928802.76,2988282.806,243,3.02124E+12,361,Biscayne Gardens Elementary,6, ,560 NW 151ST ST, ,Miami-Dade,33169,305-681-5721,E,PK-5,699,547,N,25.91278,-80.2088,916234.1432,574774.4194,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 12:39:25+00
-8943877.701,2964217.806,245,3.04021E+12,441,Blue Lakes K-8 Center,8, ,9250 SW 52ND TER, ,Miami-Dade,33165,305-271-7411,E,PK-5,625,435,S,25.71817,-80.34423,872072.8125,503797.4375,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 12:42:41+00
-8942091.958,2988854.367,193,3.22015E+12,91,Bob Graham Education Center,9, ,15901 NW 79TH AVE, ,Miami Lakes,33016,305-557-3303,E,PK-8,1962,1734,N,25.9174,-80.32818,876984.6246,576234.0001,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8943848.069,2987162.164,194,3.22021E+12,91,Bob Graham Education Center PLC-H,9, ,8875 NW 143RD ST, ,Miami Lakes,33018,305-231-8778,PLC,PK-1,0,0,N,25.90372,-80.34396,871824.2193,571237.9832,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8928392.643,2972662.834,102,1.31361E+11,7791,Booker T. Washington Senior High,2, ,1200 NW 6TH AVE, ,Miami,33136,305-324-8900,S,12-Sep,2089,977,C,25.7865,-80.20512,917722.8168,528883.9963,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 12:51:41+00
-8933693.106,2992691.222,424,3.42104E+12,461,Brentwood Elementary,6, ,3101 NW 191ST ST, ,Miami Gardens,33056,305-624-2657,E,PK-5,874,547,N,25.94839,-80.25273,901719.8121,587634.563,,1970/01/01 00:00:00+00,T0140179,2018/09/27 09:25:34+00
-8933693.106,2992691.222,373,3.42104E+12,461,Brentwood Elementary PLC-D1,, ,3101 NW 191ST ST, ,Miami Gardens,33056,305-624-2657,PLC,PK-KG,0,0,N,25.94839,-80.25273,901719.812,587634.563,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8933798.275,2980464.635,375,3.03109E+12,521,Broadmoor Elementary,4, ,3401 NW 83RD ST, ,Miami-Dade,33147,305-691-0861,E,PK-5,708,428,C,25.84959,-80.25367,901613.6873,551721.1873,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8931780.321,2976749.685,218,3.03122E+12,6031,Brownsville Middle,1, ,4899 NW 24TH AVE, ,Miami-Dade,33142,305-633-1481,M,8-Jun,1341,558,C,25.81955,-80.23555,907639.0625,540838.1252,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:13:29+00
-8947070.761,2961764.765,310,3.04031E+12,9732,Brucie Ball Educational Center,2, ,11001 SW 76TH ST, ,Miami-Dade,33173,305-514-5100,SPC,PK-12,0,314,AC,25.69832,-80.3729,862663.159,496535.2413,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:13:57+00
-8932095.025,2989226.482,377,3.42115E+12,641,Bunche Park Elementary,5, ,16001 BUNCHE PARK SCHOOL DR, ,Miami Gardens,33054,305-621-1469,E,PK-5,771,339,N,25.9204,-80.23837,906496.4383,577488.1869,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8931213.377,2982466.336,418,3.03103E+12,8121,C.O.P.E. Center North,, ,9950 NW 19TH AVE, ,Miami-Dade,33147,305-836-3300,ALT,12-Aug,363,49,C,25.86577,-80.23046,909216.1249,557646.6246,,1970/01/01 00:00:00+00,T0140179,2018/09/27 09:31:21+00
-8951451.03,2959382.179,380,3.05902E+12,671,Calusa Elementary,10, ,9580 W Calusa Club Dr, ,Miami-Dade,33186,305-385-0589,E,PK-5,792,838,S,25.67903,-80.41225,849736.9804,489465.5184,,1970/01/01 00:00:00+00,ABREUI,2017/01/05 13:59:16+00
-8955194.672,2935000.976,378,3.07908E+12,651,Campbell Drive K-8 Center,3, ,15790 SW 307TH ST, ,Miami-Dade,33033,305-245-0270,E,PK-8,870,887,S,25.48148,-80.44588,838960.9379,417618.4059,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8948558.691,2947210.276,379,3.06912E+12,661,Caribbean K-8 Center,4, ,11990 SW 200TH ST, ,Miami-Dade,33177,305-233-7131,E,PK-5,878,606,S,25.58045,-80.38627,858460.2499,453674.1544,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8935789.49,2990829.196,381,3.42108E+12,681,Carol City Elementary,6, ,4375 NW 173RD DR, ,Miami Gardens,33055,305-621-0509,E,PK-5,806,381,N,25.93335,-80.27156,895561.7817,582132.5209,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:20:59+00
-8934771.201,2992306.083,220,3.42104E+12,6051,Carol City Middle,3, ,3737 NW 188TH ST, ,Miami Gardens,33055,305-624-2652,M,8-Jun,1045,419,N,25.94528,-80.26241,898543.6878,586485.7496,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8931658.073,2985516.877,425,3.02127E+12,5901,Carrie P. Meek/Westview K-8 Center,2, ,2101 NW 127TH ST, ,Miami-Dade,33167,305-688-9641,E,PK-8,740,622,C,25.89043,-80.23445,907850.2149,566600.5014,,1970/01/01 00:00:00+00,T0140179,2018/09/27 09:39:37+00
-8931340.251,2985556.382,426,3.02127E+12,5901,Carrie P. Meek/Westview K-8 Center Annex,2,Former Westview MS,1901 NW 127TH ST, ,Miami-Dade,33167,305-688-9641,E,PK-8,740,622,C,25.89075,-80.23159,908788.1976,566722.0312,,1970/01/01 00:00:00+00,T0140179,2018/09/27 09:40:46+00
-8955151.969,2934598.596,333,1.07908E+12,7021,Center For International Education: A Cambridge A S,9, ,900 NE 23RD AVE, ,Homestead,33033,305-248-7911,S,9,1503,147,S,25.47822,-80.4455,839092.4233,416433.001,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:19:05+00
-8947483.273,2976741.654,339,3.53019E+12,9574,Central Region Office,,Former Doral Middle,5005 NW 112TH AVE, ,Doral,33178,305-499-5050,A,0,0,0, ,25.81949,-80.37661,861234.649,540569.7304,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:23:48+00
-8928240.628,2972659.682,435,1.31361E+11,9797,Chapman House,, ,526 NW 13TH St, ,Miami,33136,305-416-1072,O, ,0,0, ,25.78648,-80.20375,918172.2301,528877.4434,ABREUI,2018/05/31 09:32:21+00,ABREUI,2018/05/31 09:32:21+00
-8927289.303,2973086.575,312,1.31251E+11,331,Chapman Partnership Early Childhood Center North,, ,1550 NORTH MIAMI AVENUE, ,Miami,33136,305-329-3057,E,PK,0,0,C,25.78993,-80.1952,920976.6876,530149.5625,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:26:54+00
-8949223.238,2937969.166,311,3.07901E+12,351,Chapman Partnership Early Childhood Center South,, ,28205 SW 124 COURT, ,Miami-Dade,33033,305-416-7189,E,PK,0,0,S,25.50555,-80.39224,856617.026,426442.7937,,1970/01/01 00:00:00+00,ABREUI,2016/11/15 13:48:39+00
-8937627.536,2992881.091,255,3.02106E+12,5991,Charles David Wyche Jr. Elementary,4, ,5241 NW 195TH DR, ,Miami-Dade,33055,305-628-5776,E,PK-5,937,717,N,25.94993,-80.28808,890102.5246,588127.2887,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:32:15+00
-8930748.178,2978070.003,408,3.03115E+12,1401,Charles R. Drew K-8 Center,4, ,1775 NW 60TH ST, ,Miami-Dade,33142,305-691-8021,E,PK-7,628,391,C,25.83023,-80.22627,910666.3974,544736.3695,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 13:09:44+00
-8942606.94,2971279.866,13,3.04003E+12,2331,Charles R. Hadley Elementary,7, ,8400 NW 7TH ST, ,Miami-Dade,33126,305-261-3719,E,PK-5,986,917,C,25.77532,-80.33281,875726.2138,524584.8047,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:34:57+00
-8942609.077,2971383.728,200,3.04003E+12,2331,Charles R. Hadley PLC-A,7, ,8390 NW 7TH ST, ,Miami-Dade,33126,305-265-2714,PLC,PK-KG,0,0,C,25.77616,-80.33282,875718.3477,524890.1444,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:35:45+00
-8956673.539,2958785.114,432,3.05905E+12,1691,Christina M. Eve Elementary,8, ,16251 SW 99TH ST, ,Miami-Dade,33196,305-383-9392,E,PK-5,890,819,S,25.6742,-80.45916,834292.9586,487642.6981,RUIZJ,2018/01/29 11:20:30+00,RUIZJ,2018/01/29 11:20:30+00
-8956221.596,2961860.888,422,3.04929E+12,1691,Christina M. Eve PLC - N,8,PLC-N,16251 SW 72ND ST, ,Miami-Dade,33193,305-383-9392,PLC,PK,0,0,S,25.6991,-80.4551,835592.8117,496697.9787,,1970/01/01 00:00:00+00,T0140179,2018/09/27 13:53:21+00
-8931231.535,2971675.779,385,1.41031E+11,801,Citrus Grove Elementary,5, ,2121 NW 5TH ST, ,Miami,33125,305-642-4141,E,PK-5,1046,813,C,25.77852,-80.23062,909347.9933,525932.1875,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:42:07+00
-8931173.17,2971434.451,336,1.41031E+11,6091,Citrus Grove Middle,1, ,2153 NW 3RD ST, ,Miami,33125,305-642-5055,M,8-Jun,1279,879,C,25.77657,-80.23009,909524.6786,525223.6555,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:45:32+00
-8953421.737,2959074.071,386,3.05903E+12,831,Claude Pepper Elementary,7, ,14550 SW 96TH ST, ,Miami-Dade,33186,305-386-5244,E,PK-5,1030,583,S,25.67654,-80.42996,843910.3869,488533.3809,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:46:44+00
-8932625.09,2965541.625,387,1.4121E+11,841,Coconut Grove Elementary,10, ,3351 MATILDA ST, ,Miami,33133,305-445-7876,E,PK-5,396,483,C,25.72889,-80.24313,905331.9209,507869.4498,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:47:31+00
-8949353.679,2942381.429,136,3.06924E+12,3621,Coconut Palm K-8 Academy,3, ,24400 SW 124TH AVE, ,Miami-Dade,33032,305-257-0500,E,K-8,1499,1478,S,25.54131,-80.39341,856171.244,439440.6848,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8946406.581,2952246.463,388,3.0503E+12,861,Colonial Drive Elementary,6, ,10755 SW 160TH ST, ,Miami-Dade,33157,305-238-2392,E,PK-5,460,312,S,25.62125,-80.36693,864761.9138,468532.6045,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:48:57+00
-8930730.995,2974279.377,389,1.31271E+11,881,Comstock Elementary,5, ,2420 NW 18TH AVE, ,Miami,33142,305-635-7341,E,PK-5,591,524,C,25.79958,-80.22612,910782.7082,533595.1039,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:54:22+00
-8934915.342,2966092.651,104,3.412E+11,7072,Coral Gables Adult Education,, ,450 BIRD RD, ,Coral Gables,33146,305-443-4871,O, ,0,0, ,25.73335,-80.26371,898549.6548,509451.8516,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 13:55:46+00
-8934259.84,2968662.315,391,3.4108E+11,961,Coral Gables Preparatory Academy,10,Main Campus,105 MINORCA AVE, ,Coral Gables,33134,305-448-1731,E,PK-8,857,796,C,25.75414,-80.25782,900445.6494,517020.0001,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 12:34:15+00
-8934061.047,2969008.411,289,3.4108E+11,961,Coral Gables Preparatory Academy MLC,10,Merredick Site,39 ZAMORA AVE, ,Coral Gables,33134,305-448-1731,E,PK-8,857,796,C,25.75694,-80.25603,901027.6958,518041.0692,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 12:35:03+00
-8934859.855,2966134.242,271,3.412E+11,7071,Coral Gables Senior High,4, ,450 BIRD RD, ,Coral Gables,33146,305-443-4871,S,12-Sep,2924,3416,C,25.73368,-80.26321,898713.0618,509575.0941,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8944681.672,2969049.218,392,3.04009E+12,1001,Coral Park Elementary,10, ,1225 SW 97TH AVE, ,Miami-Dade,33174,305-221-5632,E,PK-5,952,1113,C,25.75727,-80.35144,869625.1038,517995.2331,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:01:50+00
-8941459.944,2953303.722,393,3.35022E+12,1041,Coral Reef Elementary,9, ,7955 SW 152ND ST, ,Palmetto Bay,33157,305-235-1464,E,PK-5,932,860,S,25.62981,-80.32251,879388.224,471717.3896,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:02:28+00
-8945281.049,2953292.776,107,3.0502E+12,7101,Coral Reef Senior High,9, ,10101 SW 152ND ST, ,Miami-Dade,33157,305-232-2044,S,12-Sep,2675,3377,S,25.62972,-80.35682,868078.5704,471628.7839,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:03:15+00
-8939657.187,2967967.566,394,3.04011E+12,1081,Coral Terrace Elementary,8, ,6801 SW 24TH ST, ,Miami-Dade,33155,305-262-8300,E,PK-5,654,448,C,25.74852,-80.3063,884497.6396,514890.0179,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:04:56+00
-8929802.402,2968606.047,395,1.4111E+11,1121,Coral Way Bilingual K-8 Center ,8, ,1950 SW 13TH AVE, ,Miami,33145,305-854-0515,E,PK-8,1552,1439,C,25.75368,-80.21779,913626.3647,516930.7178,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:06:19+00
-8941489.446,2991615.175,127,3.02011E+12,6611,Country Club Middle,3, ,18305 NW 75TH PL, ,Miami-Dade,33015,305-820-8800,M,8-Jun,1038,764,N,25.9397,-80.32276,878721.7643,584350.0543,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:07:16+00
-8932061.489,2992287.44,396,3.42103E+12,1161,Crestview Elementary,6, ,2201 NW 187TH ST, ,Miami Gardens,33056,305-624-1495,E,PK-5,884,407,N,25.94513,-80.23807,906543.1876,586476.8127,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8944403.621,2948044.25,337,3.66005E+12,6111,Cutler Bay Middle,2, ,19400 GULFSTREAM RD, ,Cutler Bay,33157,305-235-4761,M,8-Jun,1439,997,S,25.5872,-80.34894,870751.5,456188.6871,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8942347.714,2946056.5,335,3.0601E+12,6081,Cutler Bay Senior High,8, ,8601 SW 212TH ST, ,Cutler Bay,33189,305-235-1581,M,10-Aug,1549,475,S,25.5711,-80.33048,876868.3238,450365.1994,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:14:59+00
-8944947.571,2947124.154,93,3.06008E+12,1241,Cutler Ridge Elementary,5, ,20210 CORAL SEA RD, ,Cutler Bay,33189,305-235-4611,E,PK-5,1000,587,S,25.57975,-80.35383,869154.1296,453471.2971,,1970/01/01 00:00:00+00,ABREUI,2017/01/09 12:44:24+00
-8947455.26,2964061.921,94,3.04019E+12,1281,Cypress K-8 Center,6, ,5400 SW 112TH CT, ,Miami-Dade,33165,305-271-1611,E,PK-5,486,280,S,25.71691,-80.37637,861493.8539,503287.6253,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:20:26+00
-8930679.542,2979224.044,7,3.0311E+12,8139,D.A. Dorsey Technical College,, ,7100 NW 17TH AVE, ,Miami-Dade,33147,305-693-2490,O, ,0,0,C,25.83956,-80.22567,910849.2357,548129.0077,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:22:04+00
-8950892.965,2967445.211,305,3.04911E+12,9412,Dade County Public School-Management Information,, ,13135 SW 26TH ST, ,Miami-Dade,33175,305-994-2530,A, ,0,0, ,25.74429,-80.40724,851281.603,513191.8183,,1970/01/01 00:00:00+00,ABREUI,2016/12/14 13:50:35+00
-8955127.964,2961156.414,149,3.04933E+12,1811,Dante B. Fascell Elementary,9, ,15625 SW 80TH ST, ,Miami-Dade,33193,305-380-1901,E,PK-5,721,489,S,25.69339,-80.44528,838836.5628,494638.8438,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8937551.951,2965629.366,17,3.04024E+12,1761,David Fairchild Elementary,9, ,5757 SW 45TH ST, ,Miami-Dade,33155,305-665-5483,E,PK-5,728,595,C,25.7296,-80.28739,890759.7813,508046.4057,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:23:57+00
-8921759.029,2988415.372,353,6.2221E+11,5005,David Lawrence Jr. K-8 Center,6, ,15000 BAY VISTA BLVD, ,North Miami,33181,305-354-2600,E,PK-8,1362,1644,N,25.91385,-80.14553,937030.9171,575294.2919,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:25:18+00
-8924888.445,2985167.714,441,6.2229E+11,5005,David Lawrence Jr. K-8 Center PLC South Campus,6,David Lawrence Jr. K-8 Center,12175 NE 12TH CT, ,North Miami,33161,305-892-7080,PLC,PK-KG,0,0,N,25.88761,-80.17363,927850.2792,565696.1397,ABREUI,2018/05/31 09:34:11+00,ABREUI,2018/05/31 09:34:11+00
-8926792.475,2975999.253,105,1.3219E+11,7081,Design & Architecture Senior High,10, ,4001 NE 2ND AVE, ,Miami,33137,305-573-7135,S,12-Sep,396,518,C,25.81349,-80.19075,922392.6369,538720.6117,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:27:00+00
-8949140.703,2958148.423,139,3.05912E+12,1331,Devon Aire K-8 Center,8, ,10501 SW 122ND AVE, ,Miami-Dade,33186,305-274-7100,E,PK-8,1391,1494,S,25.66904,-80.3915,856588.9996,485865.9795,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 14:28:19+00
-8936096.088,2975869.012,308,5.3119E+11,9573,District Office/Charter School,, ,1080 LA BARON DR, ,Miami Springs,33166,305-883-0403,A, ,0,0, ,25.81243,-80.27431,894899.5268,538177.4168,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-8954731.52,2962505.782,423,3.04928E+12,451,Doolin/Bowman Foster Ashe Elementary,7,Main Campus,6601 SW 152ND AVE, ,Miami-Dade,33193,305-386-6667,E,PK-8,2099,1060,S,25.70432,-80.44172,839992.5593,498613.608,,1970/01/01 00:00:00+00,T0140179,2018/09/28 11:46:00+00
